component_name,correlation_r,abs_correlation,p_value
bos_attention_proportion_per_head_layer_22_head_15,-0.31806,0.31806,0.00000
cas_alt_vs_final_layer_per_head_layer_23_head_2,-0.30548,0.30548,0.00000
bos_attention_proportion_per_head_layer_13_head_23,0.30454,0.30454,0.00000
bos_attention_proportion_per_head_layer_16_head_15,0.30212,0.30212,0.00000
cas_alt_vs_current_layer_per_head_layer_10_head_22,0.28589,0.28589,0.00001
attention_entropy_per_head_layer_12_head_14,-0.28528,0.28528,0.00001
cas_alt_vs_current_layer_per_head_layer_10_head_15,0.27742,0.27742,0.00002
cas_alt_vs_current_layer_per_head_layer_10_head_23,0.27675,0.27675,0.00002
cas_alt_vs_final_layer_per_head_layer_24_head_21,-0.27320,0.27320,0.00003
bos_attention_proportion_per_head_layer_15_head_20,0.27211,0.27211,0.00003
attention_entropy_per_head_layer_0_head_9,0.27117,0.27117,0.00003
cas_alt_vs_current_layer_per_head_layer_10_head_6,0.26887,0.26887,0.00004
cas_alt_vs_current_layer_per_head_layer_10_head_8,0.26870,0.26870,0.00004
cas_alt_vs_current_layer_per_head_layer_10_head_21,0.26825,0.26825,0.00004
cas_alt_vs_current_layer_per_head_layer_10_head_14,0.26817,0.26817,0.00004
cas_alt_vs_current_layer_per_head_layer_10_head_9,0.26795,0.26795,0.00004
cas_alt_vs_current_layer_per_head_layer_10_head_7,0.26748,0.26748,0.00004
bos_attention_proportion_per_head_layer_7_head_0,0.26748,0.26748,0.00004
bos_attention_proportion_per_head_layer_1_head_5,-0.26665,0.26665,0.00004
attention_entropy_per_head_layer_0_head_11,0.26580,0.26580,0.00004
cas_alt_vs_current_layer_per_head_layer_9_head_10,0.26545,0.26545,0.00005
cas_alt_vs_current_layer_per_head_layer_10_head_13,0.26509,0.26509,0.00005
bos_attention_proportion_per_head_layer_7_head_2,0.26240,0.26240,0.00006
bos_attention_proportion_per_head_layer_0_head_10,-0.26206,0.26206,0.00006
ecs_prompt_specific_layer_per_head_layer_3_head_0,0.26102,0.26102,0.00006
bos_attention_proportion_per_head_layer_0_head_9,-0.26055,0.26055,0.00006
attention_entropy_per_head_layer_0_head_10,0.26026,0.26026,0.00006
v_ffn_norm_per_layer_layer_27,-0.26011,0.26011,0.00007
cas_alt_vs_current_layer_per_head_layer_10_head_12,0.25759,0.25759,0.00008
bos_attention_proportion_per_head_layer_12_head_1,0.25736,0.25736,0.00008
ecs_specific_layer_per_head_layer_27_head_5,-0.25691,0.25691,0.00008
ecs_final_layer_per_head_layer_27_head_5,-0.25691,0.25691,0.00008
bos_attention_proportion_per_head_layer_24_head_3,-0.25655,0.25655,0.00008
cas_alt_vs_current_layer_per_head_layer_10_head_20,0.25646,0.25646,0.00008
bos_attention_proportion_per_head_layer_20_head_13,0.25619,0.25619,0.00008
v_attn_norm_per_layer_layer_19,-0.25596,0.25596,0.00009
ecs_prompt_specific_layer_per_head_layer_27_head_5,-0.25362,0.25362,0.00010
ecs_prompt_final_layer_per_head_layer_27_head_5,-0.25362,0.25362,0.00010
bos_attention_proportion_per_head_layer_26_head_17,0.25334,0.25334,0.00010
cas_alt_vs_current_layer_per_head_layer_10_head_5,0.25280,0.25280,0.00011
cas_alt_vs_final_layer_per_head_layer_23_head_0,-0.25089,0.25089,0.00012
cas_alt_vs_current_layer_per_head_layer_13_head_12,0.24944,0.24944,0.00013
cas_alt_vs_current_layer_per_head_layer_13_head_7,0.24874,0.24874,0.00014
bos_attention_proportion_per_head_layer_10_head_12,0.24862,0.24862,0.00014
cas_alt_vs_current_layer_per_head_layer_27_head_5,-0.24806,0.24806,0.00014
cas_alt_vs_final_layer_per_head_layer_27_head_5,-0.24806,0.24806,0.00014
cas_alt_vs_current_layer_per_head_layer_13_head_23,0.24727,0.24727,0.00015
attention_entropy_per_head_layer_17_head_21,-0.24685,0.24685,0.00016
cas_alt_vs_current_layer_per_head_layer_13_head_8,0.24521,0.24521,0.00017
bos_attention_proportion_per_head_layer_0_head_16,-0.24418,0.24418,0.00018
ecs_prompt_final_layer_per_head_layer_26_head_0,-0.24384,0.24384,0.00019
attention_entropy_per_head_layer_3_head_20,-0.24380,0.24380,0.00019
ecs_final_layer_per_head_layer_14_head_18,-0.24371,0.24371,0.00019
ecs_prompt_specific_layer_per_head_layer_3_head_2,0.24353,0.24353,0.00019
cas_alt_vs_current_layer_per_head_layer_13_head_20,0.24335,0.24335,0.00019
ecs_prompt_final_layer_per_head_layer_26_head_17,-0.24328,0.24328,0.00019
bos_attention_proportion_per_head_layer_18_head_19,0.24300,0.24300,0.00020
