model,combo,feature,importance
EBM,Baseline,ecs_prompt_final_layer_per_head_slope,0.1955
EBM,Baseline,parameter_knowledge_difference_fft_mag_3,0.2233
EBM,Ours 1,cas_alt_vs_final_layer_per_head_std,0.2874
EBM,Ours 1,v_ffn_norm_per_layer_std,0.2605
EBM,Ours 2,bos_attention_proportion_per_head_fft_mag_1,0.1900
EBM,Ours 2,cas_alt_vs_final_layer_per_head_fft_mag_5,0.1188
EBM,Ours 2,pos_cos_similarity_per_layer_max,0.2785
EBM,Ours 2,v_ffn_norm_per_layer_max,0.2321
LightGBM,Baseline,ecs_prompt_final_layer_per_head_slope,258.5600
LightGBM,Baseline,parameter_knowledge_difference_mean,270.3000
LightGBM,Ours 1,cas_alt_vs_final_layer_per_head_fft_mag_2,264.7000
LightGBM,Ours 1,v_ffn_norm_per_layer_fft_mag_4,260.8800
LightGBM,Ours 2,bos_attention_proportion_per_head_std,121.7900
LightGBM,Ours 2,cas_alt_vs_final_layer_per_head_fft_mag_2,142.9300
LightGBM,Ours 2,pos_cos_similarity_per_layer_fft_mag_5,150.2500
LightGBM,Ours 2,v_ffn_norm_per_layer_fft_mag_4,118.0500
Logistic Regression,Baseline,ecs_prompt_final_layer_per_head_std,0.5819
Logistic Regression,Baseline,parameter_knowledge_difference_fft_mag_5,0.2192
Logistic Regression,Ours 1,cas_alt_vs_final_layer_per_head_std,0.3078
Logistic Regression,Ours 1,v_ffn_norm_per_layer_std,0.5263
Logistic Regression,Ours 2,bos_attention_proportion_per_head_fft_mag_1,0.3477
Logistic Regression,Ours 2,cas_alt_vs_final_layer_per_head_max,0.1235
Logistic Regression,Ours 2,pos_cos_similarity_per_layer_fft_mag_5,0.3553
Logistic Regression,Ours 2,v_ffn_norm_per_layer_max,0.6647
