Test_Data_Scope,k_percent,Classifier,Model_Combination,Mechanistic_Concept,Most_Important_Feature,MannWhitneyU_statistic,p_value,Is_Significant_p<0.05
Full_Single_Fold,100,Logistic Regression,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_std,112.00000,0.31081,No
Confident_Single_Fold,100,Logistic Regression,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_std,61.00000,0.07739,No
Full_Single_Fold,100,Logistic Regression,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_5,75.00000,0.49427,No
Confident_Single_Fold,100,Logistic Regression,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_5,48.00000,0.53650,No
Full_All_Folds,100,Logistic Regression,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_std,1183500.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_std,100.00000,0.00012,Yes
Full_All_Folds,100,Logistic Regression,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_5,999000.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Baseline,PKS_BASELINE,parameter_knowledge_difference_fft_mag_5,96.00000,0.00041,Yes
Full_Single_Fold,100,Logistic Regression,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,110.00000,0.35797,No
Confident_Single_Fold,100,Logistic Regression,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,64.00000,0.04226,Yes
Full_Single_Fold,100,Logistic Regression,Ours 1,PFS,v_ffn_norm_per_layer_std,120.00000,0.16433,No
Confident_Single_Fold,100,Logistic Regression,Ours 1,PFS,v_ffn_norm_per_layer_std,63.00000,0.05206,No
Full_All_Folds,100,Logistic Regression,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,1140600.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Ours 1,CAS,cas_alt_vs_final_layer_per_head_std,100.00000,0.00012,Yes
Full_All_Folds,100,Logistic Regression,Ours 1,PFS,v_ffn_norm_per_layer_std,1153700.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Ours 1,PFS,v_ffn_norm_per_layer_std,100.00000,0.00012,Yes
Full_Single_Fold,100,Logistic Regression,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,116.00000,0.22933,No
Confident_Single_Fold,100,Logistic Regression,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,65.00000,0.03407,Yes
Full_Single_Fold,100,Logistic Regression,Ours 2,CAS,cas_alt_vs_final_layer_per_head_max,98.00000,0.72367,No
Confident_Single_Fold,100,Logistic Regression,Ours 2,CAS,cas_alt_vs_final_layer_per_head_max,55.00000,0.21637,No
Full_Single_Fold,100,Logistic Regression,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,99.00000,0.68865,No
Confident_Single_Fold,100,Logistic Regression,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,51.00000,0.37722,No
Full_Single_Fold,100,Logistic Regression,Ours 2,PFS,v_ffn_norm_per_layer_max,116.00000,0.22927,No
Confident_Single_Fold,100,Logistic Regression,Ours 2,PFS,v_ffn_norm_per_layer_max,58.00000,0.13332,No
Full_All_Folds,100,Logistic Regression,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,1107798.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Ours 2,BAS,bos_attention_proportion_per_head_fft_mag_1,100.00000,0.00016,Yes
Full_All_Folds,100,Logistic Regression,Ours 2,CAS,cas_alt_vs_final_layer_per_head_max,1150750.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Ours 2,CAS,cas_alt_vs_final_layer_per_head_max,100.00000,0.00012,Yes
Full_All_Folds,100,Logistic Regression,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,1174800.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,100.00000,0.00012,Yes
Full_All_Folds,100,Logistic Regression,Ours 2,PFS,v_ffn_norm_per_layer_max,1185100.00000,0.00000,Yes
Confident_All_Folds,100,Logistic Regression,Ours 2,PFS,v_ffn_norm_per_layer_max,100.00000,0.00012,Yes
Full_Single_Fold,100,LightGBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,91.00000,0.98120,No
Confident_Single_Fold,100,LightGBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,46.00000,0.65884,No
Full_Single_Fold,100,LightGBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_mean,89.00000,0.98120,No
Confident_Single_Fold,100,LightGBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_mean,48.00000,0.53650,No
Full_All_Folds,100,LightGBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,942245.00000,0.00597,Yes
Confident_All_Folds,100,LightGBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,80.00000,0.02558,Yes
Full_All_Folds,100,LightGBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_mean,1062600.00000,0.00000,Yes
Confident_All_Folds,100,LightGBM,Baseline,PKS_BASELINE,parameter_knowledge_difference_mean,80.00000,0.02475,Yes
Full_Single_Fold,100,LightGBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,130.00000,0.06260,No
Confident_Single_Fold,100,LightGBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,71.00000,0.00807,Yes
Full_Single_Fold,100,LightGBM,Ours 1,PFS,v_ffn_norm_per_layer_fft_mag_4,133.00000,0.04513,Yes
Confident_Single_Fold,100,LightGBM,Ours 1,PFS,v_ffn_norm_per_layer_fft_mag_4,59.00000,0.11196,No
Full_All_Folds,100,LightGBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,1116909.00000,0.00000,Yes
Confident_All_Folds,100,LightGBM,Ours 1,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,70.00000,0.14017,No
Full_All_Folds,100,LightGBM,Ours 1,PFS,v_ffn_norm_per_layer_fft_mag_4,1180800.00000,0.00000,Yes
Confident_All_Folds,100,LightGBM,Ours 1,PFS,v_ffn_norm_per_layer_fft_mag_4,100.00000,0.00018,Yes
Full_Single_Fold,100,LightGBM,Ours 2,BAS,bos_attention_proportion_per_head_std,88.00000,0.94363,No
Confident_Single_Fold,100,LightGBM,Ours 2,BAS,bos_attention_proportion_per_head_std,49.00000,0.47993,No
Full_Single_Fold,100,LightGBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,132.00000,0.05043,No
Confident_Single_Fold,100,LightGBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,65.00000,0.03407,Yes
Full_Single_Fold,100,LightGBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,99.00000,0.68865,No
Confident_Single_Fold,100,LightGBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,43.00000,0.85982,No
Full_Single_Fold,100,LightGBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_4,133.00000,0.04513,Yes
Confident_Single_Fold,100,LightGBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_4,60.00000,0.09340,No
Full_All_Folds,100,LightGBM,Ours 2,BAS,bos_attention_proportion_per_head_std,836800.00000,0.01807,Yes
Confident_All_Folds,100,LightGBM,Ours 2,BAS,bos_attention_proportion_per_head_std,22.00000,0.03720,Yes
Full_All_Folds,100,LightGBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,1113356.00000,0.00000,Yes
Confident_All_Folds,100,LightGBM,Ours 2,CAS,cas_alt_vs_final_layer_per_head_fft_mag_2,100.00000,0.00018,Yes
Full_All_Folds,100,LightGBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,1174800.00000,0.00000,Yes
Confident_All_Folds,100,LightGBM,Ours 2,PAS,pos_cos_similarity_per_layer_fft_mag_5,67.00000,0.21126,No
Full_All_Folds,100,LightGBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_4,1180800.00000,0.00000,Yes
Confident_All_Folds,100,LightGBM,Ours 2,PFS,v_ffn_norm_per_layer_fft_mag_4,96.00000,0.00057,Yes
Full_Single_Fold,100,EBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,91.00000,0.98120,No
Confident_Single_Fold,100,EBM,Baseline,ECS_BASELINE,ecs_prompt_final_layer_per_head_slope,41.00000,1.00000,No
