Metric,Comparison,Mean_Baseline_Score,Mean_Comparison_Score,P_Value_raw,P_Value_BH_Corrected,Is_Significant_BH,Classifier
AUC,Ours 1 vs. Baseline,0.6683,0.6757,0.2448,0.2623,No,Logistic Regression
PCC,Ours 1 vs. Baseline,0.2723,0.2822,0.2795,0.2795,No,Logistic Regression
Precision,Ours 1 vs. Baseline,0.4061,0.4313,0.0017,0.0024,Yes,Logistic Regression
Recall,Ours 1 vs. Baseline,0.6360,0.6669,0.0106,0.0132,Yes,Logistic Regression
F1,Ours 1 vs. Baseline,0.4912,0.5190,0.0012,0.0018,Yes,Logistic Regression
AUC,Ours 2 vs. Baseline,0.6683,0.7146,0.0000,0.0000,Yes,Logistic Regression
PCC,Ours 2 vs. Baseline,0.2723,0.3541,0.0000,0.0000,Yes,Logistic Regression
Precision,Ours 2 vs. Baseline,0.4061,0.4838,0.0000,0.0000,Yes,Logistic Regression
Recall,Ours 2 vs. Baseline,0.6360,0.6932,0.0003,0.0005,Yes,Logistic Regression
F1,Ours 2 vs. Baseline,0.4912,0.5652,0.0000,0.0000,Yes,Logistic Regression
AUC,Ours 2 vs. Ours 1,0.6757,0.7146,0.0000,0.0000,Yes,Logistic Regression
PCC,Ours 2 vs. Ours 1,0.2822,0.3541,0.0000,0.0000,Yes,Logistic Regression
Precision,Ours 2 vs. Ours 1,0.4313,0.4838,0.0000,0.0000,Yes,Logistic Regression
Recall,Ours 2 vs. Ours 1,0.6669,0.6932,0.0329,0.0380,Yes,Logistic Regression
F1,Ours 2 vs. Ours 1,0.5190,0.5652,0.0000,0.0000,Yes,Logistic Regression
AUC,Ours 1 vs. Baseline,0.5884,0.6453,0.0000,0.0002,Yes,LightGBM
PCC,Ours 1 vs. Baseline,0.1493,0.2367,0.0001,0.0002,Yes,LightGBM
Precision,Ours 1 vs. Baseline,0.3881,0.4264,0.0026,0.0039,Yes,LightGBM
Recall,Ours 1 vs. Baseline,0.5533,0.6042,0.0117,0.0147,Yes,LightGBM
F1,Ours 1 vs. Baseline,0.4503,0.4905,0.0038,0.0052,Yes,LightGBM
AUC,Ours 2 vs. Baseline,0.5884,0.6816,0.0000,0.0000,Yes,LightGBM
PCC,Ours 2 vs. Baseline,0.1493,0.3017,0.0000,0.0000,Yes,LightGBM
Precision,Ours 2 vs. Baseline,0.3881,0.4361,0.0003,0.0006,Yes,LightGBM
Recall,Ours 2 vs. Baseline,0.5533,0.6236,0.0010,0.0017,Yes,LightGBM
F1,Ours 2 vs. Baseline,0.4503,0.5072,0.0002,0.0004,Yes,LightGBM
AUC,Ours 2 vs. Ours 1,0.6453,0.6816,0.0004,0.0008,Yes,LightGBM
PCC,Ours 2 vs. Ours 1,0.2367,0.3017,0.0000,0.0002,Yes,LightGBM
Precision,Ours 2 vs. Ours 1,0.4264,0.4361,0.1845,0.1845,No,LightGBM
Recall,Ours 2 vs. Ours 1,0.6042,0.6236,0.1143,0.1225,No,LightGBM
F1,Ours 2 vs. Ours 1,0.4905,0.5072,0.0572,0.0660,No,LightGBM
AUC,Ours 1 vs. Baseline,0.6097,0.6676,0.0000,0.0001,Yes,EBM
PCC,Ours 1 vs. Baseline,0.1802,0.2724,0.0000,0.0000,Yes,EBM
Precision,Ours 1 vs. Baseline,0.3912,0.4285,0.0018,0.0027,Yes,EBM
Recall,Ours 1 vs. Baseline,0.5833,0.5874,0.4302,0.4302,No,EBM
F1,Ours 1 vs. Baseline,0.4627,0.4881,0.0421,0.0526,No,EBM
AUC,Ours 2 vs. Baseline,0.6097,0.7001,0.0000,0.0000,Yes,EBM
PCC,Ours 2 vs. Baseline,0.1802,0.3408,0.0000,0.0000,Yes,EBM
Precision,Ours 2 vs. Baseline,0.3912,0.4727,0.0000,0.0000,Yes,EBM
Recall,Ours 2 vs. Baseline,0.5833,0.5906,0.3831,0.4302,No,EBM
F1,Ours 2 vs. Baseline,0.4627,0.5154,0.0010,0.0016,Yes,EBM
AUC,Ours 2 vs. Ours 1,0.6676,0.7001,0.0000,0.0000,Yes,EBM
PCC,Ours 2 vs. Ours 1,0.2724,0.3408,0.0000,0.0000,Yes,EBM
Precision,Ours 2 vs. Ours 1,0.4285,0.4727,0.0000,0.0001,Yes,EBM
Recall,Ours 2 vs. Ours 1,0.5874,0.5906,0.4159,0.4302,No,EBM
F1,Ours 2 vs. Ours 1,0.4881,0.5154,0.0061,0.0084,Yes,EBM
